contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Unknown Contractor,2025-149350 EP,"6802 MONTANA ST, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150586 PP,"4407 WALHILL LN, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-139749 BP,"5410 DUVAL ST BLDG 2, Austin, TX",Building Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-152396 BP,"404 HAMMACK DR, Austin, TX",Building Permit,1,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-139750 BP,"5410 DUVAL ST BLDG 1, Austin, TX",Building Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150935 EP,"8700 SHOAL CREEK BLVD, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-152044 BP,"6200 PARLIAMENT DR, Austin, TX",Building Permit,1,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-142103 BP,"6410 FM 969 RD, Austin, TX",Building Permit,14175165,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-011729 PP,"1000 ELM ST, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-151418 BP,"9622 BREEZE HILL DR, Austin, TX",Building Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-151235 EP,"1818 1/2 SIMOND AVE, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-081149 EP,"5775 AIRPORT BLVD, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-149905 EP,"612 SHERATON AVE, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-151899 PP,"2703 DERWENT DR, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-146745 EP,"1903 E 20TH ST UNIT 102, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150549 PP,"7921 ADELAIDE DR, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-125373 MP,"507 PRESSLER ST UNIT 900, Austin, TX",Mechanical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-148701 EP,"5301 MONARDA MINT DR, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-152035 BP,"11108 SILO VALLEY DR, Austin, TX",Building Permit,1,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-052151 DS,"1613 BERENE AVE, Austin, TX",Driveway / Sidewalks,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-151237 EP,"1818 1/2 SIMOND AVE, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-146730 EP,"1903 E 20TH ST UNIT 101, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-151019 EP,"10109 SWAN VALLEY LN, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-148488 MP,"2605 HARLEYHILL DR, Austin, TX",Mechanical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-149928 BP,"10037 MENCHACA RD BLDG 1, Austin, TX",Building Permit,1500000,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-013992 BP,"3210 ROGGE LN, Austin, TX",Building Permit,1,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150338 PP,"813 W OLTORF ST, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-080314 PP,"5908 MOUNTAINCLIMB DR, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150600 BP,"8202 BRIARWOOD LN UNIT A, Austin, TX",Building Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-148949 BP,"1178 GRAHAM ST, Austin, TX",Building Permit,19800,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-089004 MP,"5000 FINLEY DR, Austin, TX",Mechanical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150089 BP,"5218 MONARDA MINT DR, Austin, TX",Building Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-151263 PP,"5809 SANDALWOOD HOLW, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150324 PP,"3204 PINECREST DR, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150936 PP,"11214 TRACTON LN, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-146796 EP,"1903 E 20TH ST UNIT 302, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-150865 PP,"602 MEADOW LEA DR, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-064010 PP,"9009 GLENN LN, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-149885 EP,"9120 BURNET RD UNIT 150, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-152556 PP,"2201 AIRPORT BLVD UNIT 120, Austin, TX",Plumbing Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-149942 EP,"12911 PEGASUS ST, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-138691 BP,"1317 SWEET BARK ST, Austin, TX",Building Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-142248 MP,"3107 OAK CREEK DR, Austin, TX",Mechanical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-105612 BP,"610 CRIMSON VINEYARD DR, Austin, TX",Building Permit,1,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-151017 EP,"2300 WHITESTONE DR, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
Unknown Contractor,2025-146789 EP,"1903 E 20TH ST UNIT 204, Austin, TX",Electrical Permit,,2025-12-01,Austin,Unknown Owner
