contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Blue Ridge Builders,BIR-95936,2066 Elm St,Deck Construction,89731,2025-11-21,Birmingham,Jane Williams
Metro Contractors,BIR-36014,3539 Oak Ave,Electrical Work,42648,2025-11-18,Birmingham,John Johnson
Quality Construction Co,BIR-75239,4891 Elm St,Plumbing Work,35671,2025-11-30,Birmingham,John Johnson
Quality Construction Co,BIR-63231,3924 Pine Rd,Residential Addition,126417,2025-11-27,Birmingham,Sarah Williams
Metro Contractors,BIR-16658,9633 Oak Ave,Roof Replacement,94939,2025-11-21,Birmingham,Jane Smith
Blue Ridge Builders,BIR-82373,4969 Pine Rd,HVAC Installation,12369,2025-11-28,Birmingham,David Smith
Metro Contractors,BIR-74170,5927 Main St,Bathroom Renovation,140297,2025-11-14,Birmingham,John Johnson
Blue Ridge Builders,BIR-42572,1015 Maple Dr,Roof Replacement,133118,2025-11-04,Birmingham,Jane Johnson
Sunrise Contractors,BIR-19964,7249 Pine Rd,Residential Addition,111496,2025-11-27,Birmingham,David Johnson
Blue Ridge Builders,BIR-83732,7933 Main St,Bathroom Renovation,88962,2025-11-30,Birmingham,Jane Johnson
City Builders Inc,BIR-46219,1536 Pine Rd,Deck Construction,143150,2025-11-02,Birmingham,John Smith
Quality Construction Co,BIR-24871,9656 Pine Rd,Bathroom Renovation,30613,2025-11-10,Birmingham,John Williams
Elite Home Services,BIR-72240,1194 Elm St,Plumbing Work,7804,2025-11-05,Birmingham,David Johnson
Quality Construction Co,BIR-60682,8633 Main St,Residential Addition,114932,2025-12-01,Birmingham,Sarah Smith
Sunrise Contractors,BIR-69030,3756 Maple Dr,Plumbing Work,28974,2025-11-10,Birmingham,David Williams
