contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Blue Ridge Builders,CHA-31253,9679 Pine Rd,Kitchen Remodel,38990,2025-11-22,Charlotte,Michael Williams
Sunrise Contractors,CHA-89353,5088 Elm St,Kitchen Remodel,88176,2025-11-12,Charlotte,David Williams
Quality Construction Co,CHA-73185,9841 Pine Rd,Deck Construction,99788,2025-11-18,Charlotte,Jane Smith
Blue Ridge Builders,CHA-23701,8400 Pine Rd,Residential Addition,90997,2025-11-21,Charlotte,Michael Smith
ABC Construction LLC,CHA-15371,8443 Pine Rd,HVAC Installation,95441,2025-11-21,Charlotte,David Williams
Elite Home Services,CHA-90146,6906 Elm St,Electrical Work,26240,2025-11-20,Charlotte,John Williams
Sunrise Contractors,CHA-91417,1378 Pine Rd,Bathroom Renovation,58401,2025-11-18,Charlotte,Jane Williams
Elite Home Services,CHA-83014,6427 Main St,Deck Construction,87589,2025-11-20,Charlotte,Sarah Johnson
Quality Construction Co,CHA-56927,1939 Pine Rd,Plumbing Work,117119,2025-11-17,Charlotte,Sarah Williams
Quality Construction Co,CHA-45616,4462 Oak Ave,Kitchen Remodel,142911,2025-11-26,Charlotte,Michael Williams
City Builders Inc,CHA-40169,9088 Oak Ave,Residential Addition,90954,2025-11-29,Charlotte,Jane Smith
ABC Construction LLC,CHA-44381,4887 Maple Dr,Electrical Work,18453,2025-12-01,Charlotte,Michael Williams
Premier Builders,CHA-48693,6478 Elm St,New Construction,24504,2025-11-17,Charlotte,Sarah Williams
