contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Unknown Contractor,CHA-31984,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-93822,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-72715,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-67213,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-24527,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-27381,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-36972,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-91673,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-50374,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-49566,"Chattanooga, TN",Building Permit,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-53510,"Chattanooga, TN",New Construction,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-22339,"Chattanooga, TN",New Construction,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-78752,"Chattanooga, TN",New Construction,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-58352,"Chattanooga, TN",New Addition,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-73639,"Chattanooga, TN",New Construction,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-24169,"Chattanooga, TN",New Construction,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-19018,"Chattanooga, TN",New Addition,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-52423,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-50755,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-18176,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-18490,"Chattanooga, TN",Commercial,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-31122,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-57281,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-89260,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-68032,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-32451,"Chattanooga, TN",Commercial,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-78332,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-96988,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-30428,"Chattanooga, TN",Commercial,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-43545,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-29232,"Chattanooga, TN",Commercial,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-75414,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-61338,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-51647,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-75995,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-37504,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-86612,"Chattanooga, TN",Commercial,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-24469,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-96787,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-39570,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-83583,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-46258,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-99383,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
Unknown Contractor,CHA-40169,"Chattanooga, TN",Residential,,,Chattanooga,Unknown Owner
