contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Unknown Contractor,B200452426,"4000 E 134TH ST, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200451803,"9439 S RACINE AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200452625,"1838 W BELMONT AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200452457,"4000 E 134TH ST, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200452036,"1717 S MICHIGAN AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200450022,"4814 S DREXEL BLVD, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200450583,"200 E RANDOLPH ST, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,101075018,"710 E 64TH ST, Chicago, IL",PERMIT - RENOVATION/ALTERATION,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200443119,"4801 S KENWOOD AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200452093,"4845 S KENWOOD AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200451506,"7435 W TALCOTT AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200452695,"8247 S ST LAWRENCE AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,101070775,"3225 S SHIELDS AVE, Chicago, IL",PERMIT - NEW CONSTRUCTION,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200452451,"4000 E 134TH ST, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,101076070,"3641 S MORGAN ST, Chicago, IL",PERMIT - RENOVATION/ALTERATION,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200447887,"8111 S THROOP ST, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,101076819,"2026 W WARNER AVE, Chicago, IL",PERMIT - RENOVATION/ALTERATION,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,101077013,"3630 N JANSSEN AVE, Chicago, IL",PERMIT - ELEVATOR EQUIPMENT,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200451687,"4333 S FAIRFIELD AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200449602,"4317 W WILCOX ST, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200452602,"9222 S PAXTON AVE, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200451327,"333 N GREEN ST, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,101073380,"1500 N WELLS ST, Chicago, IL",PERMIT - RENOVATION/ALTERATION,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,101076402,"77 W WACKER DR, Chicago, IL",PERMIT - RENOVATION/ALTERATION,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200452518,"2311 W 95TH ST, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
Unknown Contractor,B200448804,"8755 W HIGGINS RD, Chicago, IL",PERMIT – EXPRESS PERMIT PROGRAM,,2025-12-01,Chicago,Unknown Owner
