contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Sunrise Contractors,COL-63542,7735 Oak Ave,Roof Replacement,107850,2025-11-15,Columbus,Jane Smith
Elite Home Services,COL-35635,9466 Main St,Deck Construction,74163,2025-11-19,Columbus,David Williams
Mountain View Construction,COL-17356,3823 Maple Dr,Residential Addition,92291,2025-11-30,Columbus,John Johnson
Sunrise Contractors,COL-45166,1083 Elm St,Deck Construction,98266,2025-11-25,Columbus,Michael Johnson
City Builders Inc,COL-50036,6023 Oak Ave,New Construction,112411,2025-11-15,Columbus,Jane Johnson
Elite Home Services,COL-77778,2974 Elm St,Deck Construction,14805,2025-11-16,Columbus,Sarah Johnson
Elite Home Services,COL-18151,4229 Elm St,Electrical Work,72275,2025-11-10,Columbus,Sarah Smith
Sunrise Contractors,COL-82001,3671 Main St,New Construction,73575,2025-11-11,Columbus,Jane Johnson
Quality Construction Co,COL-50774,491 Maple Dr,Bathroom Renovation,60753,2025-11-28,Columbus,Michael Smith
Blue Ridge Builders,COL-27739,3929 Pine Rd,Electrical Work,102701,2025-11-16,Columbus,Michael Johnson
Blue Ridge Builders,COL-49048,8911 Maple Dr,New Construction,138463,2025-11-02,Columbus,John Smith
