contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Sunrise Contractors,MIL-92783,8512 Oak Ave,HVAC Installation,24882,2025-11-24,Milwaukee,Sarah Williams
Elite Home Services,MIL-41760,9798 Main St,HVAC Installation,9808,2025-11-05,Milwaukee,John Williams
Mountain View Construction,MIL-21765,8808 Oak Ave,Residential Addition,37372,2025-11-15,Milwaukee,David Smith
ABC Construction LLC,MIL-78790,9201 Maple Dr,Residential Addition,140951,2025-11-21,Milwaukee,David Johnson
Blue Ridge Builders,MIL-19039,3957 Maple Dr,Electrical Work,60672,2025-11-18,Milwaukee,Michael Johnson
Premier Builders,MIL-59042,9637 Oak Ave,HVAC Installation,90366,2025-11-07,Milwaukee,David Williams
Metro Contractors,MIL-14606,9699 Pine Rd,Kitchen Remodel,116083,2025-11-14,Milwaukee,Michael Williams
Sunrise Contractors,MIL-39851,133 Elm St,Roof Replacement,54177,2025-11-19,Milwaukee,Jane Williams
Quality Construction Co,MIL-98983,9324 Oak Ave,New Construction,104582,2025-11-23,Milwaukee,John Smith
Mountain View Construction,MIL-42341,1234 Maple Dr,HVAC Installation,145436,2025-11-24,Milwaukee,Sarah Smith
