contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Unknown Contractor,PHX-85505,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-14610,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-55356,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-84274,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-66548,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-70869,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-40752,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-58465,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-44913,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-61608,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-76208,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-90408,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-72824,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-43387,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-87287,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-77277,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-96941,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-34257,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-30056,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-11875,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-48175,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
Unknown Contractor,PHX-25027,"Phoenix, AZ",Building Permit,,,Phoenix,Unknown Owner
