contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
BESF LLC,COM-ADD-PMT25-39900084,"523 E MYRTLE, City of San Antonio, TX 78212",Electrical General Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
BESF LLC,COM-ADD-PMT25-39900084,"523 E MYRTLE, City of San Antonio, TX 78212",Electrical TOPS Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
BESF LLC,COM-ADD-PMT25-39900084,"523 E MYRTLE, City of San Antonio, TX 78212",Mechanical Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
BESF LLC,COM-ADD-PMT25-39900084,"523 E MYRTLE, City of San Antonio, TX 78212",Plumbing General Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
"Joshua Valenta, MATKIN HOOVER ENGINEERING & SURVEYING",COM-BLG-PMT25-40200525,"6610 MEDINA BASE RD, City of San Antonio, TX 78242",Electrical General Permit,,2025-11-03,San Antonio,Building No: C1; Unit No: N/A
"Joshua Valenta, MATKIN HOOVER ENGINEERING & SURVEYING",COM-BLG-PMT25-40200526,"6610 MEDINA BASE RD, City of San Antonio, TX 78242",Electrical General Permit,,2025-11-03,San Antonio,Building No: C2; Unit No: N/A
"Joshua Valenta, MATKIN HOOVER ENGINEERING & SURVEYING",COM-BLG-PMT25-40200527,"6610 MEDINA BASE RD, City of San Antonio, TX 78242",Electrical General Permit,,2025-11-03,San Antonio,Building No: C3; Unit No: N/A
Benchmark Group,COM-RML-PMT25-40000722,"1515 N 1604 E, City of San Antonio, TX 78232",Comm Remodel Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
Benchmark Group,COM-RML-PMT25-40000722,"1515 N 1604 E, City of San Antonio, TX 78232",Electrical General Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
Benchmark Group,COM-RML-PMT25-40000722,"1515 N 1604 E, City of San Antonio, TX 78232",Mechanical Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
Benchmark Group,COM-RML-PMT25-40000722,"1515 N 1604 E, City of San Antonio, TX 78232",Plumbing Gas Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
Benchmark Group,COM-RML-PMT25-40000722,"1515 N 1604 E, City of San Antonio, TX 78232",Plumbing General Permit,,2025-11-03,San Antonio,Building No: N/A; Unit No: N/A
Melissa Gonzales,COM-RML-PMT25-40000757,"849 E COMMERCE ST, City of San Antonio, TX 78205",Comm Remodel Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: 1
Imagine Unlimited,COM-RML-PMT25-40000758,"7700 FLOYD CURL, City of San Antonio, TX 78229",Comm Remodel Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: N/A
Imagine Unlimited,COM-RML-PMT25-40000758,"7700 FLOYD CURL, City of San Antonio, TX 78229",Electrical General Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: N/A
Imagine Unlimited,COM-RML-PMT25-40000758,"7700 FLOYD CURL, City of San Antonio, TX 78229",Mechanical Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: N/A
Imagine Unlimited,COM-RML-PMT25-40000758,"7700 FLOYD CURL, City of San Antonio, TX 78229",Plumbing General Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: N/A
Imagine Unlimited,COM-RML-PMT25-40000758,"7700 FLOYD CURL, City of San Antonio, TX 78229",Plumbing Irrigation Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: N/A
Imagine Unlimited,COM-RML-PMT25-40000758,"7700 FLOYD CURL, City of San Antonio, TX 78229",Plumbing Medical Gas Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: N/A
Joseph Mendoza,COM-RML-PMT25-40000761,"1464 AUSTIN HWY, City of San Antonio, TX 78209",Comm Remodel Permit,,2025-11-03,San Antonio,Building No: NA; Unit No: 100
Brandy Harrison,COM-RML-PMT25-40000762,"100 NE 410, City of San Antonio, TX 78216",Comm Remodel Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: 1135
Brandy Harrison,COM-RML-PMT25-40000762,"100 NE 410, City of San Antonio, TX 78216",Electrical General Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: 1135
Brandy Harrison,COM-RML-PMT25-40000762,"100 NE 410, City of San Antonio, TX 78216",Mechanical Permit,,2025-11-03,San Antonio,Building No: 1; Unit No: 1135
"Drash Contracting Company, LLC",COM-RML-PMT25-40000764,"8000 IH 10 W, City of San Antonio, TX 78230",Comm Remodel Permit,,2025-11-03,San Antonio,Building No: n/a; Unit No: 300
"Drash Contracting Company, LLC",COM-RML-PMT25-40000764,"8000 IH 10 W, City of San Antonio, TX 78230",Electrical General Permit,,2025-11-03,San Antonio,Building No: n/a; Unit No: 300
"Drash Contracting Company, LLC",COM-RML-PMT25-40000764,"8000 IH 10 W, City of San Antonio, TX 78230",Mechanical Permit,,2025-11-03,San Antonio,Building No: n/a; Unit No: 300
"Drash Contracting Company, LLC",COM-RML-PMT25-40000764,"8000 IH 10 W, City of San Antonio, TX 78230",Plumbing General Permit,,2025-11-03,San Antonio,Building No: n/a; Unit No: 300
"Drash Contracting Company, LLC",COM-RML-PMT25-40000764,"8000 IH 10 W, City of San Antonio, TX 78230",Plumbing Irrigation Permit,,2025-11-03,San Antonio,Building No: n/a; Unit No: 300
Mark Skipalis,COM-SHD-PMT25-41200077,"310 SEASCAPE DR, City of San Antonio, TX 78245",Comm Shade Structure Permit,80000,2025-11-03,San Antonio,Phased-Minor Structures - Potranco Commons Trellis
Sabrina Garcia,COM-SIT-PMT25-40100428,"4003 ALAMAR RIDGE, City of San Antonio, TX 78259",Comm Sitework Permit,880000,2025-11-03,San Antonio,Phased-Site Work Alamar Phase 2
Sabrina Garcia,COM-SIT-PMT25-40100428,"4003 ALAMAR RIDGE, City of San Antonio, TX 78259",Plumbing General Permit,,2025-11-03,San Antonio,Phased-Site Work Alamar Phase 2
