contractor_name,permit_number,address,permit_type,value,issue_date,city,owner_name
Unknown Contractor,7070047-CN,"2652 NW 95TH ST, WA",Building Permit,,2025-11-29,Seattle,Unknown Owner
Unknown Contractor,7082429-CN,"2740 45TH AVE SW, WA",Building Permit,,2025-11-29,Seattle,Unknown Owner
Unknown Contractor,7090072-CN,"2650 NW 95TH ST, WA",Building Permit,,2025-11-29,Seattle,Unknown Owner
Unknown Contractor,7093813-CN,"3618 SW Alaska ST, WA",Building Permit,,2025-11-28,Seattle,Unknown Owner
Unknown Contractor,7117821-CN,"8015 JONES AVE NW, WA",Building Permit,,2025-11-28,Seattle,Unknown Owner
Unknown Contractor,7118164-CN,"410 NE 70TH ST, WA",Building Permit,,2025-11-28,Seattle,Unknown Owner
Unknown Contractor,7079984-CN,"10650 RIVIERA PL NE, WA",Building Permit,,2025-11-28,Seattle,Unknown Owner
Unknown Contractor,7086250-CN,"3141 E MADISON ST, WA",Building Permit,,2025-11-27,Seattle,Unknown Owner
Unknown Contractor,7118581-CN,"903 32ND AVE, WA",Building Permit,,2025-11-27,Seattle,Unknown Owner
Unknown Contractor,7118582-CN,"1820 S WELLER ST, WA",Building Permit,,2025-11-27,Seattle,Unknown Owner
Unknown Contractor,7034838-DM,"2120 9TH AVE W, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7065234-CN,"9251 PALATINE AVE N, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7058583-CN,"9113 CYRUS AVE NW, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,6934399-CN,"10546 35TH AVE NE, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7088189-CN,"7322 58TH AVE NE, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7107747-BK,"900 4TH AVE, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7077219-CN,"9251 C PALATINE AVE N, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7117115-CN,"14018 25TH AVE NE, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7114079-CN,"2012 43RD AVE E, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7108262-CN,"2244 38th PL E, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7075414-CN,"7509 12TH AVE SW, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7112149-CN,"5100 15TH AVE NW, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7092752-CN,"1313 CALIFORNIA AVE SW, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7095345-CN,"11222 B 1ST AVE NW, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7117831-CN,"2416 S WARSAW ST, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Unknown Contractor,7117854-CN,"3452 36TH AVE SW, WA",Building Permit,,2025-11-26,Seattle,Unknown Owner
Mary Koutrelakos,6781200-CN,"118 W MERCER ST, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,7089379-CN,"4843 37TH AVE SW, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,7101349-CN,"4434 S HOLLY ST, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,7118475-CN,"4233 7th AVE NE, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
State Roofing Inc,7118383-RR,"2640 NW 90TH ST, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,7107682-CN,"400 DEXTER AVE N, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,7118472-CN,"4100 DENSMORE AVE N, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,7110947-CN,"505 W MERCER PL, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,7115996-CN,"2730 37TH AVE SW, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,7118309-CN,"1000 2ND AVE, WA",Building Permit,,2025-11-25,Seattle,Unknown Owner
Unknown Contractor,6757669-DM,"14312 30TH AVE NE, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7066860-CN,"7306 45TH AVE S, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7077278-DM,"14374 30TH AVE NE, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7065750-CN,"11026 SAND POINT WAY NE, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7066756-CN,"1555 NE 90TH ST, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7066862-CN,"7310 45TH AVE S, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7066863-CN,"7314 45TH AVE S, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7066864-CN,"7316 45TH AVE S, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7068028-CN,"2126 9TH AVE W, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7078214-CN,"11028 SAND POINT WAY NE, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7018902-CN,"7304 45TH AVE S, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7034839-CN,"2126 9TH AVE W, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7027961-CN,"9253 18TH AVE SW, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7077276-DM,"14358 30TH AVE NE, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7077277-DM,"14364 30TH AVE NE, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7097852-CN,"214 N 100TH ST, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7076568-CN,"3121 16TH AVE S, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7118306-CN,"6412 34TH AVE NW, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
State Roofing Inc,7118179-RR,"3729 40TH AVE SW, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7066759-CN,"8921 17TH AVE NE, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7075246-CN,"2700 NE UNIVERSITY VILLAGE ST, WA",Building Permit,,2025-11-24,Seattle,Unknown Owner
Unknown Contractor,7106406-CN,"4234 3RD AVE NW, WA",Building Permit,,2025-11-23,Seattle,Unknown Owner
Unknown Contractor,7117819-CN,"6210 LAKE SHORE DR S, WA",Building Permit,,2025-11-23,Seattle,Unknown Owner
Unknown Contractor,7117942-CN,"10508 14TH AVE NW, WA",Building Permit,,2025-11-22,Seattle,Unknown Owner
Unknown Contractor,7118047-CN,"2040 43RD AVE E, WA",Building Permit,,2025-11-22,Seattle,Unknown Owner
Unknown Contractor,6962464-CN,"1518 NE 92ND ST, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7072917-DM,"801 29TH AVE E, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7117825-CN,"8114 41ST AVE SW, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7117875-CN,"10315 8TH AVE NW, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7114126-CN,"9824 LAKE CITY WAY NE, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7117948-CN,"7549 14th AVE NW, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7008026-DM,"4724 25TH AVE SW, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7115445-BK,"436 N 34TH ST, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7114547-CN,"401 NE Northgate WAY, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7115226-BK,"436 N 34TH ST, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,7117836-CN,"2553 Warren AVE N, WA",Building Permit,,2025-11-21,Seattle,Unknown Owner
Unknown Contractor,6736386-DM,"5523 13TH AVE S, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7043676-CN,"7122 44TH AVE SW, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7100969-DM,"6522 42nd AVE NE, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7093439-DM,"6527 JONES AVE NW, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7104206-CN,"2903 S MASSACHUSETTS ST, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7078001-CN,"3818 32ND AVE W, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7104333-CN,"2232 NW MARKET ST, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7111695-CN,"3033 28TH AVE W, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7095634-CN,"2603 NE 133RD ST, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7114714-CN,"345 BOREN AVE N, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7116825-CN,"903 NW 61ST ST, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7039273-CN,"8718 LINDEN AVE N, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7117201-CN,"10055 48th AVE NE, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7096793-DM,"9208 DAYTON AVE N, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7097853-CN,"1201 3RD AVE, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7087395-CN,"920 E NW 54TH ST, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7022711-CN,"1239 S KING ST, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7098143-DM,"3841 37TH AVE SW, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7103088-CN,"501 FAIRVIEW AVE N, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7117625-CN,"1625 5TH AVE W, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7117588-CN,"2634 36TH AVE W, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7098424-CN,"2306 4TH AVE N, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7112246-BK,"800 5TH AVE, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7116977-CN,"2412 W BOSTON ST, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7117700-CN,"5150 S GRAHAM ST, WA",Building Permit,,2025-11-20,Seattle,Unknown Owner
Unknown Contractor,7001028-CN,"2842 FAIRVIEW AVE E, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7059318-CN,"11504 RIVIERA PL NE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7001026-CN,"2848 FAIRVIEW AVE E, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7076621-CN,"2011 NE 123RD ST, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7049708-CN,"2647 A 45TH AVE SW, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7081556-CN,"6025 38TH AVE NE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7082013-CN,"2647 C 45TH AVE SW, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7083694-CN,"920 B NW 54TH ST, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7085615-CN,"5816 SEWARD PARK AVE S, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7104152-CN,"4702 46TH AVE NE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7108992-CN,"2121 7TH AVE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7103310-CN,"316 BROADWAY, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7111895-CN,"831 C NW 63RD ST, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7102479-BK,"1111 3RD AVE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7047267-CN,"9644 50TH AVE SW, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7082206-CN,"13732 STONE AVE N, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7114225-CN,"3401 FREMONT AVE N, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7116786-CN,"4525 S CLOVERDALE ST, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7097039-CN,"3212 35TH AVE S, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7117116-CN,"1505 Westlake AVE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7117488-RR,"1500 S 6 AVE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7062142-CN,"8642 10TH AVE SW, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7096302-CN,"7736 36TH AVE NE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7082014-CN,"2649 45TH AVE SW, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7084836-CN,"2701 26TH AVE SW, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Digs WA- Eric Dexter,7085936-CN,"11755 DAYTON AVE N, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7087478-CN,"920 H NW 54TH ST, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7096860-CN,"7404 GREENWOOD AVE N, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7098475-CN,"13730 STONE AVE N, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7098476-CN,"13734 STONE AVE N, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
"James King Roofing, LLC",7117584-RR,"426 TERRY AVE N, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7103034-CN,"801 ALASKAN WAY, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
"James King Roofing, LLC",7117529-RR,"1624 BOREN AVE, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7117561-CN,"212 N 100TH ST, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7116426-CN,"6702 JONES AVE NW, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,7098565-CN,"2326 CALIFORNIA AVE SW, WA",Building Permit,,2025-11-19,Seattle,Unknown Owner
Unknown Contractor,6824524-CN,"1611 EDGEWOOD AVE SW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,6910810-CN,"2854 FAIRVIEW AVE E, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7059941-CN,"2613 45TH AVE SW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7077279-DM,"14376 30TH AVE NE, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7079810-CN,"6545 44TH AVE SW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7084649-CN,"2034 NE 97TH ST, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7091275-CN,"6539 44TH AVE SW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7062893-CN,"1222 24TH AVE E, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7100733-CN,"1510 31ST AVE, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7077284-DM,"14386 30TH AVE NE, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7099414-DM,"6712 14TH AVE NW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7103133-CN,"1314 N 76TH ST, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7013764-CN,"705 NE NORTHLAKE WAY, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7106260-CN,"7022 SYCAMORE AVE NW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7116821-CN,"4415 52ND AVE NE, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7117300-CN,"844 E GWINN PL, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7046748-DM,"1555 NE 90TH ST, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7112144-CN,"133 DEXTER AVE N, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7112426-CN,"1201 2ND AVE, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7114035-CN,"1712 30TH AVE S, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7117199-CN,"10304 23RD AVE NE, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,6992051-CN,"1326 LAKE WASHINGTON BLVD S, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7097002-CN,"12512 8TH AVE NW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7107215-CN,"1909 N 48TH ST, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7097906-CN,"4520 SW RAYMOND ST, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7116770-CN,"7515 ROOSEVELT WAY NE, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Ryan Balas,7108255-CN,"7758 EARL AVE NW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7059314-CN,"4211 27TH AVE W, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7091276-CN,"6543 44TH AVE SW, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7102108-CN,"4324 MERIDIAN AVE N, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,7117204-CN,"2905 W DRAVUS ST, WA",Building Permit,,2025-11-18,Seattle,Unknown Owner
Unknown Contractor,6963965-DM,"121 12TH AVE, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7065904-CN,"3605 NE 47TH ST, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7090667-CN,"201 16TH AVE E, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7099941-CN,"819 NE 100TH ST, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7100392-CN,"1400 NW 45TH ST, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7102922-DM,"2618 29TH AVE W, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7115629-CN,"1959 NE PACIFIC ST, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7116435-CN,"412 W MERCER ST, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7046746-CN,"8927 17TH AVE NE, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7116868-CN,"3230 NW 64TH ST, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7047000-CN,"8925 17TH AVE NE, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7080338-CN,"12546 EVANSTON AVE N, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7112548-CN,"8418 9TH AVE SW, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7063038-CN,"3400 PHINNEY AVE N, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7095682-CN,"419 NW 73RD ST, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7114525-CN,"9454 24TH AVE SW, WA",Building Permit,,2025-11-17,Seattle,Unknown Owner
Unknown Contractor,7068608-CN,"330 29TH AVE E, WA",Building Permit,,2025-11-16,Seattle,Unknown Owner
Unknown Contractor,7024503-CN,"5615 CALIFORNIA AVE SW, WA",Building Permit,,2025-11-16,Seattle,Unknown Owner
Unknown Contractor,7116587-CN,"5027 36TH AVE NE, WA",Building Permit,,2025-11-16,Seattle,Unknown Owner
Unknown Contractor,6755525-CN,"2050 S COLUMBIAN WAY, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7068097-CN,"817 NE 100TH ST, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7101786-CN,"2646 41ST AVE SW, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7101772-CN,"2647 WALNUT AVE SW, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7115262-CN,"9506 18TH AVE NW, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7115655-CN,"913 HARVARD AVE E, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7112878-CN,"2008 nob hill AVE N, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Valentine Roofing,7116771-RR,"10744 15TH AVE NE, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7114189-CN,"159 S JACKSON ST, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7116337-CN,"9718 19TH AVE NE, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7088875-CN,"2645 WALNUT AVE SW, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7101787-CN,"2648 41ST AVE SW, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Valentine Roofing,7116778-RR,"1220 NE 107TH ST, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7065533-DM,"4909 SW CANADA DR, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7111905-CN,"2059 MINOR AVE E, WA",Building Permit,,2025-11-14,Seattle,Unknown Owner
Unknown Contractor,7050652-CN,"6546 44TH AVE NE, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
Unknown Contractor,7099343-CN,"1604 N 34TH ST, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
Unknown Contractor,7103191-CN,"3424 49TH AVE SW, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
Unknown Contractor,7104706-CN,"4516 BEACH DR SW, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
Unknown Contractor,7104878-CN,"1511 S SHELTON ST, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
Unknown Contractor,7100136-CN,"6104 NE 60TH ST, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
Unknown Contractor,7042454-CN,"3400 E HARRISON ST, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
Unknown Contractor,7079823-CN,"7324 7TH AVE SW, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
Unknown Contractor,7103190-CN,"3422 49TH AVE SW, WA",Building Permit,,2025-11-13,Seattle,Unknown Owner
